Time (s),tracking_error,tracking_error_derivative,tracking_error_second_derivative
9600,2000.0,-0.0,-0.0
9630,1935.4838709677424,-2.0811654526534857,-0.067134369440435
9660,1497.2972972972966,-14.28403119771908,-0.4085539832102831
9690,727.0270270270266,-24.64007163222508,-0.3509606783071772
9720,122.65625,-20.491316511824323,0.1080735132739693
9750,20.860927152316435,-16.297599337748345,0.1613099619154535
9780,15.894039735096158,-12.417218543046358,0.1244659533761598
9810,10.927152317883156,-8.536837748344372,0.0876219448368662
9840,5.960264900662878,-4.656456953642385,0.0507779362975725
9870,0.9933774834426004,-0.7760761589403984,0.0139339277582788
9900,0.0,-0.0,0.0019309194265941
9930,0.0,-0.0,-0.0
9960,0.0,-0.0,-0.0
9990,0.0,-0.0,-0.0
10020,0.0,-0.0,-0.0
10050,0.0,-0.0,-0.0
