Time (s),tracking_error,tracking_error_derivative,tracking_error_second_derivative
0,31000.0,-0.0,-0.0
30,31000.0,-0.0,-0.0
60,31000.0,-0.0,-0.0
90,31000.0,-0.0,-0.0
120,31000.0,-0.0,-0.0
150,31000.0,-0.0,-0.0
180,31000.0,-0.0,-0.0
210,31000.0,-0.0,-0.0
240,31000.0,-0.0,-0.0
270,31000.0,-0.0,-0.0
300,31000.0,-0.0,-0.0
330,31000.0,-0.0,-0.0
360,31000.0,-0.0,-0.0
390,31000.0,-0.0,-0.0
420,31000.0,-0.0,-0.0
450,31000.0,-0.0,-0.0
480,31000.0,-0.0,-0.0
510,31000.0,-0.0,-0.0
540,31000.0,-0.0,-0.0
570,31000.0,-0.0,-0.0
600,31000.0,-0.0,-0.0
630,31000.0,-0.0,-0.0
660,31000.0,-0.0,-0.0
690,31000.0,-0.0,-0.0
720,31000.0,-0.0,-0.0
750,31000.0,-0.0,-0.0
780,31000.0,-0.0,-0.0
810,31000.0,-0.0,-0.0
840,31000.0,-0.0,-0.0
870,31000.0,-0.0,-0.0
900,31000.0,-0.0,-0.0
930,31000.0,-0.0,-0.0
960,31000.0,-0.0,-0.0
990,31000.0,-0.0,-0.0
1020,31000.0,-0.0,-0.0
1050,31000.0,-0.0,-0.0
1080,31000.0,-0.0,-0.0
1110,31000.0,-0.0,-0.0
1140,31000.0,-0.0,-0.0
1170,30850.0,-34.09090909090909,-8.212809917355372
1200,30575.0,-35.0,-4.25
1230,29266.666666666668,-33.333333333333336,-0.0
1260,28183.333333333332,-25.0,2.7777777777777777
1290,27250.0,-30.55555555555556,-0.9259259259259264
1320,26575.0,-19.444444444444446,0.9259259259259258
1350,25575.0,-34.44444444444444,0.0802469135802469
1380,24989.0625,-12.625558035714286,0.9248694595025512
1410,24950.0,-0.0,0.1953125
1440,24950.0,-0.0,-0.0
1470,24965.0,1.0,0.0666666666666666
1500,24832.35294117647,-7.655709342560553,-0.4468344431198084
1530,23678.333333333332,-45.66666666666667,-0.9599128540305012
1560,22400.0,-40.0,0.3796296296296297
1590,21261.666666666664,-42.66666666666666,-0.6296296296296295
1620,19991.666666666664,-41.66666666666666,0.0277777777777777
1650,18790.0,-40.0,0.0074074074074074
1680,17717.42424242424,-36.13865932047751,0.1170103236218937
1710,17259.848484848484,-17.102846648301195,0.5889473244845146
1740,16549.26470588235,-22.325547866205305,-0.0698839093150104
1770,15587.878787878788,-31.606168638254204,-0.3215642753519159
1800,14530.303030303032,-35.2157943067034,-0.1304365973787462
1830,13452.272727272728,-35.90449954086318,-0.0229568411386593
1860,12399.242424242424,-35.2157943067034,0.0187828700225394
1890,11469.354838709682,-31.04720461640337,0.1381733514836557
1920,10671.875,-26.53414818548387,0.1546808077461826
1950,9788.235294117643,-29.482050173010386,-0.100971559879812
1980,8950.0,-27.94117647058824,0.0513624567474048
2010,8336.363636363636,-21.135148274185703,0.2109125929286286
2040,7620.454545454544,-23.553719008264466,-0.0526656943769243
2070,6875.0,-24.848484848484848,-0.0431588613406795
2100,6088.63636363636,-26.10192837465565,-0.0402788212705568
2130,5370.0,-24.32034632034632,0.0443432469406495
2160,4710.60606060606,-22.05955660501115,0.0780101004422138
2190,4079.1666666666715,-21.0479797979798,0.0337192269010451
2220,3447.7941176470595,-21.02076124567474,0.0022859883179443
2250,2836.363636363636,-20.466699076324744,0.0154790780058874
2280,2274.1935483870984,-18.72102923091477,0.059383006968207
2310,1657.2580645161288,-20.577523413111344,-0.0627858932380431
